Section,Ticker,Metric,Report_Value,Code_Value,Raw_Code_Value,Status,Notes
Section 7 sign-flip test,AAPL,Exact two-sided sign-flip p-value,0.477,0.477,0.4765625,PASS,Computed over all 512 sign assignments from rolling_paired_hmm_auc_deltas.csv.
Section 7 sign-flip test,IBM,Exact two-sided sign-flip p-value,0.242,0.242,0.2421875,PASS,Computed over all 512 sign assignments from rolling_paired_hmm_auc_deltas.csv.
