Ticker,HMM_State,Regime_Label,Train_State_Count,Train_Mean_Weekly_Log_Return,Train_Std_Weekly_Log_Return,Train_Positive_Return_Probability,Emission_Mean_Scaled,Emission_Variance_Scaled,Labelled_Using,Positive_Return_Probability_Estimated_On
AAPL,0,Bullish,332,0.010464433757908365,0.02246771147311878,0.677710843373494,0.15210274254883632,0.4233918658666523,training mean Weekly_Log_Return,train
AAPL,1,Bearish,233,-0.00267464321143021,0.053134635845461575,0.45493562231759654,-0.17295458148365234,1.5995111193975018,training mean Weekly_Log_Return,train
IBM,0,Bullish,430,0.0021136420998662266,0.016922697902019543,0.5348837209302325,0.06047374965850612,0.35811237948052604,training mean Weekly_Log_Return,train
IBM,1,Bearish,135,-0.0030196007183213936,0.055460837885282506,0.4888888888888889,-0.14165255047722006,2.4750318504550677,training mean Weekly_Log_Return,train
MSFT,0,Bullish,490,0.0059033947350912675,0.021482236919275786,0.6040816326530613,0.03855464938203207,0.49198215958046915,training mean Weekly_Log_Return,train
MSFT,1,Bearish,75,-0.0035548465822933945,0.06489078085329135,0.4533333333333333,-0.13343671697984816,2.735445510923847,training mean Weekly_Log_Return,train
