Ticker,Fold,Selected_Lookback,Base_Test_ROC_AUC,HMM_Test_ROC_AUC,Delta_HMM_AUC,Base_Test_PR_AUC,HMM_Test_PR_AUC,Delta_HMM_PR_AUC,Base_Test_Balanced_Accuracy,HMM_Test_Balanced_Accuracy,Delta_HMM_Balanced_Accuracy
AAPL,1,8,0.4774305555555556,0.46006944444444453,-0.01736111111111105,0.6968925111117182,0.6762673083937567,-0.020625202717961533,0.4895833333333333,0.5069444444444444,0.017361111111111105
AAPL,2,8,0.6140350877192983,0.5917065390749602,-0.022328548644338087,0.7109474785877636,0.6793439108473853,-0.03160356774037831,0.55103668261563,0.532695374800638,-0.01834130781499199
AAPL,3,12,0.2607407407407407,0.2622222222222222,0.0014814814814814725,0.3944944369857159,0.39532114443824407,0.0008267074525281637,0.3681481481481481,0.3511111111111111,-0.017037037037037017
AAPL,4,8,0.4962406015037594,0.5469924812030076,0.05075187969924816,0.7356020356375913,0.7535790271082531,0.017976991470661785,0.4774436090225564,0.4774436090225564,0.0
AAPL,5,12,0.5222734254992321,0.5069124423963134,-0.015360983102918668,0.6198506264295689,0.6324651012322879,0.012614474802719045,0.4731182795698925,0.48310291858678955,0.009984639016897057
AAPL,6,4,0.4207407407407407,0.44740740740740736,0.026666666666666672,0.47510177435857026,0.4864374041822635,0.011335629823693238,0.528888888888889,0.5074074074074074,-0.021481481481481546
AAPL,7,12,0.5487256371814093,0.6326836581709145,0.08395802098950522,0.6717957858708639,0.7206742983875517,0.048878512516687844,0.49700149925037485,0.5494752623688156,0.052473763118440764
AAPL,8,8,0.4196969696969696,0.40454545454545454,-0.015151515151515083,0.5343751654369966,0.5533770132142127,0.01900184777721614,0.46212121212121215,0.4636363636363636,0.0015151515151514694
AAPL,9,4,0.553223388305847,0.553223388305847,0.0,0.6515156689943852,0.6436118888018811,-0.00790378019250404,0.5239880059970015,0.553223388305847,0.029235382308845592
IBM,1,4,0.60119940029985,0.542728635682159,-0.05847076461769096,0.5288288935632518,0.48127347989193603,-0.04755541367131577,0.5577211394302849,0.5892053973013494,0.03148425787106446
IBM,2,12,0.49851190476190477,0.43452380952380953,-0.06398809523809523,0.47951454726254245,0.42151527460893834,-0.057999272653604106,0.5476190476190477,0.4851190476190476,-0.06250000000000006
IBM,3,8,0.4572713643178411,0.4002998500749625,-0.05697151424287861,0.5676790119438933,0.5292251390980676,-0.03845387284582569,0.41379310344827586,0.4107946026986507,-0.0029985007496251548
IBM,4,4,0.48592592592592593,0.5496296296296295,0.06370370370370354,0.5169645438698284,0.533956061379734,0.016991517509905574,0.4822222222222222,0.4948148148148148,0.0125925925925926
IBM,5,8,0.49155145929339483,0.4854070660522273,-0.006144393241167556,0.6075415380309582,0.6204064203774039,0.012864882346445672,0.4746543778801843,0.4907834101382489,0.016129032258064613
IBM,6,8,0.596153846153846,0.5739644970414202,-0.02218934911242587,0.6174312742270593,0.5928042955770915,-0.02462697864996788,0.5192307692307692,0.5576923076923077,0.03846153846153855
IBM,7,12,0.5555555555555556,0.5837037037037036,0.028148148148148033,0.6260157217020281,0.6515700254686074,0.0255543037665793,0.5592592592592592,0.5733333333333333,0.014074074074074017
IBM,8,4,0.578125,0.5328125,-0.04531249999999998,0.6822337081692426,0.662958799249762,-0.019274908919480582,0.565625,0.50625,-0.05937500000000007
IBM,9,8,0.6421568627450981,0.638888888888889,-0.0032679738562091387,0.7919217349738912,0.7904664420333963,-0.0014552929404948456,0.5359477124183006,0.5196078431372549,-0.016339869281045694
